MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime(s);AverageWriteTime(s);WriteBandwidth(Mb/s);AbsError(write)(s);RelError(write)(%);ReadTime(s);AverageReadTime(s);ReadBandwidth(Mb/s);AbsError(read)(s);RelError(read)(%)
SSD;4194304;int;4;0;chrono::high_resolution_clock;0,067181;0,067181;7,621191;0,067175;99,991069%;0,020374;0,020374;25,130068;0,020368;99,970551%
SSD;8388608;int;4;0;chrono::high_resolution_clock;0,103277;0,103277;9,915064;0,103271;99,994190%;0,048435;0,048435;21,141867;0,048429;99,987612%
SSD;12582912;int;4;0;chrono::high_resolution_clock;0,216176;0,216176;7,105335;0,216170;99,997224%;0,066819;0,066819;22,987370;0,066813;99,991021%
SSD;16777216;int;4;0;chrono::high_resolution_clock;0,325252;0,325252;6,296664;0,325246;99,998155%;0,132517;0,132517;15,454668;0,132511;99,995472%
SSD;20971520;int;4;0;chrono::high_resolution_clock;0,355700;0,355700;7,197086;0,355694;99,998313%;0,112632;0,112632;22,728907;0,112626;99,994673%
SSD;25165824;int;4;0;chrono::high_resolution_clock;0,327554;0,327554;9,378598;0,327548;99,998168%;0,152952;0,152952;20,084798;0,152946;99,996077%
SSD;29360128;int;4;0;chrono::high_resolution_clock;0,407811;0,407811;8,788385;0,407805;99,998529%;0,206786;0,206786;17,331911;0,206780;99,997098%
SSD;33554432;int;4;0;chrono::high_resolution_clock;0,451255;0,451255;9,076918;0,451249;99,998670%;0,171040;0,171040;23,947643;0,171034;99,996492%
SSD;37748736;int;4;0;chrono::high_resolution_clock;0,584576;0,584576;7,882639;0,584570;99,998974%;0,245606;0,245606;18,761764;0,245600;99,997557%
SSD;41943040;int;4;0;chrono::high_resolution_clock;0,517129;0,517129;9,900818;0,517123;99,998840%;0,271547;0,271547;18,854924;0,271541;99,997790%
SSD;46137344;int;4;0;chrono::high_resolution_clock;0,667284;0,667284;8,440181;0,667278;99,999101%;0,238417;0,238417;23,622457;0,238411;99,997483%
SSD;50331648;int;4;0;chrono::high_resolution_clock;0,674964;0,674964;9,102712;0,674958;99,999111%;0,290293;0,290293;21,164794;0,290287;99,997933%
SSD;54525952;int;4;0;chrono::high_resolution_clock;0,778351;0,778351;8,551415;0,778345;99,999229%;0,338144;0,338144;19,683939;0,338138;99,998226%
SSD;58720256;int;4;0;chrono::high_resolution_clock;0,796150;0,796150;9,003333;0,796144;99,999246%;0,306126;0,306126;23,415164;0,306120;99,998040%
SSD;62914560;int;4;0;chrono::high_resolution_clock;0,791554;0,791554;9,702429;0,791548;99,999242%;0,336962;0,336962;22,791888;0,336956;99,998219%
SSD;67108864;int;4;0;chrono::high_resolution_clock;1,033937;1,033937;7,923114;1,033931;99,999420%;0,342283;0,342283;23,933412;0,342277;99,998247%
SSD;71303168;int;4;0;chrono::high_resolution_clock;0,884346;0,884346;9,842298;0,884340;99,999322%;0,383053;0,383053;22,722686;0,383047;99,998434%
SSD;75497472;int;4;0;chrono::high_resolution_clock;1,207649;1,207649;7,631354;1,207643;99,999503%;0,390905;0,390905;23,576091;0,390899;99,998465%
SSD;79691776;int;4;0;chrono::high_resolution_clock;1,184318;1,184318;8,214012;1,184312;99,999493%;0,601316;0,601316;16,177845;0,601310;99,999002%
SSD;83886080;int;4;0;chrono::high_resolution_clock;1,178785;1,178785;8,686908;1,178779;99,999491%;0,490836;0,490836;20,862361;0,490830;99,998778%
