Model name;AMD Ryzen 5 1600 Six-Core Processor  
Task;OpType;Opt;InsCount;Timer;AvTime;AbsError;RelError;TaskPerf;
dgemv;int;None;10;chrono;0,01462014;0,01462014;1,00000000%;99,00000000;
Time;LNum;
0,01436832;0
0,01597404;1
0,01410894;2
0,01409026;3
0,01432312;4
0,01430753;5
0,01438880;6
0,01609452;7
0,01430830;8
0,01423759;9
dgemv;float;None;10;chrono;0,01527347;0,01527347;1,00000000%;99,00000000;
Time;LNum;
0,01526791;0
0,01488063;1
0,01502527;2
0,01666788;3
0,01514226;4
0,01501691;5
0,01524152;6
0,01516169;7
0,01522377;8
0,01510682;9
dgemv;double;None;10;chrono;0,01556623;0,01556623;1,00000000%;99,00000000;
Time;LNum;
0,01520929;0
0,01487269;1
0,01486882;2
0,01580845;3
0,01517684;4
0,01520485;5
0,01841571;6
0,01511538;7
0,01509805;8
0,01589224;9
