Model name;AMD Ryzen 5 1600 Six-Core Processor  
Task;OpType;Opt;InsCount;Timer;AvTime;AbsError;RelError;TaskPerf;
dgemv;int;O2;10;chrono;0,00054614;0,00054614;0,99999995%;99,00000005;
Time;LNum;
0,00050301;0
0,00060059;1
0,00054433;2
0,00053939;3
0,00053354;4
0,00054066;5
0,00058287;6
0,00055020;7
0,00049620;8
0,00057063;9
dgemv;float;O2;10;chrono;0,00089795;0,00089795;0,99999997%;99,00000003;
Time;LNum;
0,00080045;0
0,00096797;1
0,00076952;2
0,00092817;3
0,00119103;4
0,00086512;5
0,00081959;6
0,00080792;7
0,00093876;8
0,00089098;9
dgemv;double;O2;10;chrono;0,00088213;0,00088213;0,99999997%;99,00000003;
Time;LNum;
0,00089985;0
0,00078485;1
0,00089302;2
0,00098754;3
0,00097957;4
0,00082668;5
0,00079508;6
0,00088492;7
0,00091202;8
0,00085780;9
