Model name;AMD Ryzen 5 1600 Six-Core Processor  
Task;dgemv int
OpType;int
Opt;O3
InsCount;10
Timer;chrono
Time;0,050677221
LNum;0
Time;0,050821267
LNum;1
Time;0,050225756
LNum;2
Time;0,049862379
LNum;3
Time;0,05254311
LNum;4
Time;0,051360839
LNum;5
Time;0,052516259
LNum;6
Time;0,049936605
LNum;7
Time;0,051061192
LNum;8
Time;0,051788946
LNum;9
AvTime;0,051079357
AbsError;0,051079357
RelError;1,8388569e+10%
TaskPerf;-1,8388569e+10
Task;dgemv double
OpType;double
Opt;none
InsCount;10
Timer;chrono
Time;0,074861404
LNum;0
Time;0,074212527
LNum;1
Time;0,083454683
LNum;2
Time;0,072968847
LNum;3
Time;0,083343715
LNum;4
Time;0,072588102
LNum;5
Time;0,078720623
LNum;6
Time;0,076826322
LNum;7
Time;0,07220547
LNum;8
Time;0,073729877
LNum;9
AvTime;0,076291157
AbsError;0,076291157
RelError;2,7464817e+10%
TaskPerf;-2,7464816e+10
