Model name;AMD Ryzen 5 1600 Six-Core Processor  
Task;dgemv int
OpType;int
Opt;none
InsCount;100
Timer;chrono
Time;1.3895522
LNum;0
Time;1.4129829
LNum;1
Time;1.4298601
LNum;2
Time;1.4526251
LNum;3
Time;1.4917638
LNum;4
Time;1.4489835
LNum;5
Time;1.4491662
LNum;6
Time;1.4581162
LNum;7
Time;1.4829732
LNum;8
Time;1.4868946
LNum;9
Time;1.4998884
LNum;10
Time;1.4297334
LNum;11
Time;1.4317231
LNum;12
Time;1.4371157
LNum;13
Time;1.4441567
LNum;14
Time;1.4278352
LNum;15
Time;1.4045633
LNum;16
Time;1.4257968
LNum;17
Time;1.4238035
LNum;18
Time;1.4414875
LNum;19
Time;1.4213333
LNum;20
Time;1.4459617
LNum;21
Time;1.4399747
LNum;22
Time;1.4171163
LNum;23
Time;1.406907
LNum;24
Time;1.4163199
LNum;25
Time;1.4050931
LNum;26
Time;1.4637087
LNum;27
Time;1.3992348
LNum;28
Time;1.4092317
LNum;29
Time;1.4042111
LNum;30
Time;1.4027833
LNum;31
Time;1.4087349
LNum;32
Time;1.4043778
LNum;33
Time;1.4101807
LNum;34
Time;1.5091881
LNum;35
Time;1.4114662
LNum;36
Time;1.4860535
LNum;37
Time;1.4318984
LNum;38
Time;1.4355272
LNum;39
Time;1.4128568
LNum;40
Time;1.4208801
LNum;41
Time;1.4347853
LNum;42
Time;1.4323236
LNum;43
Time;1.4050877
LNum;44
Time;1.3867048
LNum;45
Time;1.44025
LNum;46
Time;1.4150875
LNum;47
Time;1.4418026
LNum;48
Time;1.4434126
LNum;49
Time;1.4305209
LNum;50
Time;1.4659738
LNum;51
Time;1.3928433
LNum;52
Time;1.4116045
LNum;53
Time;1.4936686
LNum;54
Time;1.435947
LNum;55
Time;1.4218556
LNum;56
Time;1.4281561
LNum;57
Time;1.4144743
LNum;58
Time;1.4350422
LNum;59
Time;1.4428459
LNum;60
Time;1.4298737
LNum;61
Time;1.4317342
LNum;62
Time;1.4158108
LNum;63
Time;1.4149324
LNum;64
Time;1.4196479
LNum;65
Time;1.406837
LNum;66
Time;1.4206282
LNum;67
Time;1.4314568
LNum;68
Time;1.4021128
LNum;69
Time;1.4427969
LNum;70
Time;1.4249314
LNum;71
Time;1.4047098
LNum;72
Time;1.482048
LNum;73
Time;1.4273292
LNum;74
Time;1.4195704
LNum;75
Time;1.440287
LNum;76
Time;1.4515847
LNum;77
Time;1.4113425
LNum;78
Time;1.4153588
LNum;79
Time;1.4163253
LNum;80
Time;1.4887125
LNum;81
Time;1.4593281
LNum;82
Time;1.3966447
LNum;83
Time;1.3992336
LNum;84
Time;1.4063083
LNum;85
Time;1.3951057
LNum;86
Time;1.3863639
LNum;87
Time;1.4038325
LNum;88
Time;1.3999014
LNum;89
Time;1.4172639
LNum;90
Time;1.424217
LNum;91
Time;1.4361551
LNum;92
Time;1.4081519
LNum;93
Time;1.4445635
LNum;94
Time;1.4048384
LNum;95
Time;1.4087095
LNum;96
Time;1.4001938
LNum;97
Time;1.3926981
LNum;98
Time;1.3988422
LNum;99
AvTime;1.4278483
AbsError;1.4278483
RelError;5.1402539e+10%
TaskPerf;-5.1402539e+10
Task;dgemv double
OpType;double
Opt;none
InsCount;100
Timer;chrono
Time;1.5298955
LNum;0
Time;1.4776163
LNum;1
Time;1.5367667
LNum;2
Time;1.5547787
LNum;3
Time;1.603986
LNum;4
Time;1.5697616
LNum;5
Time;1.5480899
LNum;6
Time;1.5800632
LNum;7
Time;1.5532383
LNum;8
Time;1.5457115
LNum;9
Time;1.617559
LNum;10
Time;1.5242649
LNum;11
Time;1.4815051
LNum;12
Time;1.4936326
LNum;13
Time;1.5213615
LNum;14
Time;1.4934336
LNum;15
Time;1.5108514
LNum;16
Time;1.496737
LNum;17
Time;1.4856921
LNum;18
Time;1.4943217
LNum;19
Time;1.4909231
LNum;20
Time;1.5458876
LNum;21
Time;1.4988902
LNum;22
Time;1.5144696
LNum;23
Time;1.504431
LNum;24
Time;1.5379966
LNum;25
Time;1.4980664
LNum;26
Time;1.5284197
LNum;27
Time;1.4974974
LNum;28
Time;1.4812093
LNum;29
Time;1.4830829
LNum;30
Time;1.4992806
LNum;31
Time;1.497153
LNum;32
Time;1.5210068
LNum;33
Time;1.5134521
LNum;34
Time;1.5338916
LNum;35
Time;1.5000225
LNum;36
Time;1.5770155
LNum;37
Time;1.4842439
LNum;38
Time;1.6170605
LNum;39
Time;1.4902163
LNum;40
Time;1.5760024
LNum;41
Time;1.5074181
LNum;42
Time;1.5049185
LNum;43
Time;1.5014955
LNum;44
Time;1.5157216
LNum;45
Time;1.52315
LNum;46
Time;1.4983016
LNum;47
Time;1.4899642
LNum;48
Time;1.5036274
LNum;49
Time;1.5122975
LNum;50
Time;1.5298081
LNum;51
Time;1.5025045
LNum;52
Time;1.5475644
LNum;53
Time;1.495293
LNum;54
Time;1.4958854
LNum;55
Time;1.4960068
LNum;56
Time;1.4859515
LNum;57
Time;1.5067541
LNum;58
Time;1.5039851
LNum;59
Time;1.5522339
LNum;60
Time;1.5008157
LNum;61
Time;1.491326
LNum;62
Time;1.530062
LNum;63
Time;1.4962135
LNum;64
Time;1.5305516
LNum;65
Time;1.5054439
