MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime(s);AverageWriteTime(s);WriteBandwidth(Mb/s);AbsError(write)(s);RelError(write)(%);ReadTime(s);AverageReadTime(s);ReadBandwidth(Mb/s);AbsError(read)(s);RelError(read)(%)
FLASH;4194304;int;4;1;chrono::high_resolution_clock;1,061262;1,136584;0,450473;1,136548;99,996833%;0,016039;0,016561;30,916633;0,016525;99,782617%
FLASH;4194304;int;4;2;chrono::high_resolution_clock;1,080158;1,136584;0,450473;1,136548;99,996833%;0,016552;0,016561;30,916633;0,016525;99,782617%
FLASH;4194304;int;4;3;chrono::high_resolution_clock;1,788528;1,136584;0,450473;1,136548;99,996833%;0,016548;0,016561;30,916633;0,016525;99,782617%
FLASH;4194304;int;4;4;chrono::high_resolution_clock;1,059437;1,136584;0,450473;1,136548;99,996833%;0,016857;0,016561;30,916633;0,016525;99,782617%
FLASH;4194304;int;4;5;chrono::high_resolution_clock;1,067031;1,136584;0,450473;1,136548;99,996833%;0,016415;0,016561;30,916633;0,016525;99,782617%
FLASH;4194304;int;4;6;chrono::high_resolution_clock;1,061966;1,136584;0,450473;1,136548;99,996833%;0,016912;0,016561;30,916633;0,016525;99,782617%
FLASH;4194304;int;4;7;chrono::high_resolution_clock;1,063929;1,136584;0,450473;1,136548;99,996833%;0,016367;0,016561;30,916633;0,016525;99,782617%
FLASH;4194304;int;4;8;chrono::high_resolution_clock;1,057449;1,136584;0,450473;1,136548;99,996833%;0,016481;0,016561;30,916633;0,016525;99,782617%
FLASH;4194304;int;4;9;chrono::high_resolution_clock;1,071446;1,136584;0,450473;1,136548;99,996833%;0,016604;0,016561;30,916633;0,016525;99,782617%
FLASH;4194304;int;4;10;chrono::high_resolution_clock;1,054634;1,136584;0,450473;1,136548;99,996833%;0,016832;0,016561;30,916633;0,016525;99,782617%
FLASH;8388608;int;4;1;chrono::high_resolution_clock;3,238237;4,216538;0,242853;4,216502;99,999146%;0,032165;0,033792;30,303096;0,033756;99,893466%
FLASH;8388608;int;4;2;chrono::high_resolution_clock;4,153708;4,216538;0,242853;4,216502;99,999146%;0,034803;0,033792;30,303096;0,033756;99,893466%
FLASH;8388608;int;4;3;chrono::high_resolution_clock;4,141542;4,216538;0,242853;4,216502;99,999146%;0,034280;0,033792;30,303096;0,033756;99,893466%
FLASH;8388608;int;4;4;chrono::high_resolution_clock;4,274712;4,216538;0,242853;4,216502;99,999146%;0,032408;0,033792;30,303096;0,033756;99,893466%
FLASH;8388608;int;4;5;chrono::high_resolution_clock;4,187458;4,216538;0,242853;4,216502;99,999146%;0,034841;0,033792;30,303096;0,033756;99,893466%
FLASH;8388608;int;4;6;chrono::high_resolution_clock;4,084972;4,216538;0,242853;4,216502;99,999146%;0,033369;0,033792;30,303096;0,033756;99,893466%
FLASH;8388608;int;4;7;chrono::high_resolution_clock;4,081075;4,216538;0,242853;4,216502;99,999146%;0,033137;0,033792;30,303096;0,033756;99,893466%
FLASH;8388608;int;4;8;chrono::high_resolution_clock;4,118103;4,216538;0,242853;4,216502;99,999146%;0,034937;0,033792;30,303096;0,033756;99,893466%
