MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime(s);AverageWriteTime(s);WriteBandwidth(Mb/s);AbsError(write)(s);RelError(write)(%);ReadTime(s);AverageReadTime(s);ReadBandwidth(Mb/s);AbsError(read)(s);RelError(read)(%)
HDD;4194304;int;4;1;chrono::high_resolution_clock;0,193000;0,177063;2,891632;0,177042;99,988253%;0,019166;0,017299;29,597736;0,017278;99,879759%
HDD;4194304;int;4;2;chrono::high_resolution_clock;0,188313;0,177063;2,891632;0,177042;99,988253%;0,016371;0,017299;29,597736;0,017278;99,879759%
HDD;4194304;int;4;3;chrono::high_resolution_clock;0,183483;0,177063;2,891632;0,177042;99,988253%;0,016460;0,017299;29,597736;0,017278;99,879759%
HDD;4194304;int;4;4;chrono::high_resolution_clock;0,179776;0,177063;2,891632;0,177042;99,988253%;0,016246;0,017299;29,597736;0,017278;99,879759%
HDD;4194304;int;4;5;chrono::high_resolution_clock;0,197536;0,177063;2,891632;0,177042;99,988253%;0,016521;0,017299;29,597736;0,017278;99,879759%
HDD;4194304;int;4;6;chrono::high_resolution_clock;0,173105;0,177063;2,891632;0,177042;99,988253%;0,019392;0,017299;29,597736;0,017278;99,879759%
HDD;4194304;int;4;7;chrono::high_resolution_clock;0,160046;0,177063;2,891632;0,177042;99,988253%;0,017055;0,017299;29,597736;0,017278;99,879759%
HDD;4194304;int;4;8;chrono::high_resolution_clock;0,157605;0,177063;2,891632;0,177042;99,988253%;0,016806;0,017299;29,597736;0,017278;99,879759%
HDD;4194304;int;4;9;chrono::high_resolution_clock;0,172149;0,177063;2,891632;0,177042;99,988253%;0,016171;0,017299;29,597736;0,017278;99,879759%
HDD;4194304;int;4;10;chrono::high_resolution_clock;0,165612;0,177063;2,891632;0,177042;99,988253%;0,018798;0,017299;29,597736;0,017278;99,879759%
HDD;8388608;int;4;1;chrono::high_resolution_clock;0,346705;0,346874;2,952083;0,346853;99,994004%;0,034420;0,033614;30,463098;0,033594;99,938122%
HDD;8388608;int;4;2;chrono::high_resolution_clock;0,321926;0,346874;2,952083;0,346853;99,994004%;0,032222;0,033614;30,463098;0,033594;99,938122%
HDD;8388608;int;4;3;chrono::high_resolution_clock;0,326885;0,346874;2,952083;0,346853;99,994004%;0,033837;0,033614;30,463098;0,033594;99,938122%
HDD;8388608;int;4;4;chrono::high_resolution_clock;0,382686;0,346874;2,952083;0,346853;99,994004%;0,032239;0,033614;30,463098;0,033594;99,938122%
HDD;8388608;int;4;5;chrono::high_resolution_clock;0,401483;0,346874;2,952083;0,346853;99,994004%;0,033601;0,033614;30,463098;0,033594;99,938122%
HDD;8388608;int;4;6;chrono::high_resolution_clock;0,366027;0,346874;2,952083;0,346853;99,994004%;0,033022;0,033614;30,463098;0,033594;99,938122%
HDD;8388608;int;4;7;chrono::high_resolution_clock;0,349861;0,346874;2,952083;0,346853;99,994004%;0,032653;0,033614;30,463098;0,033594;99,938122%
HDD;8388608;int;4;8;chrono::high_resolution_clock;0,324917;0,346874;2,952083;0,346853;99,994004%;0,034235;0,033614;30,463098;0,033594;99,938122%
HDD;8388608;int;4;9;chrono::high_resolution_clock;0,320984;0,346874;2,952083;0,346853;99,994004%;0,033088;0,033614;30,463098;0,033594;99,938122%
HDD;8388608;int;4;10;chrono::high_resolution_clock;0,327263;0,346874;2,952083;0,346853;99,994004%;0,036828;0,033614;30,463098;0,033594;99,938122%
HDD;12582912;int;4;1;chrono::high_resolution_clock;0,512959;0,543543;2,825903;0,543522;99,996173%;0,050146;0,051206;29,996594;0,051185;99,959380%
HDD;12582912;int;4;2;chrono::high_resolution_clock;0,489716;0,543543;2,825903;0,543522;99,996173%;0,051845;0,051206;29,996594;0,051185;99,959380%
HDD;12582912;int;4;3;chrono::high_resolution_clock;0,537941;0,543543;2,825903;0,543522;99,996173%;0,048744;0,051206;29,996594;0,051185;99,959380%
HDD;12582912;int;4;4;chrono::high_resolution_clock;0,503969;0,543543;2,825903;0,543522;99,996173%;0,051018;0,051206;29,996594;0,051185;99,959380%
HDD;12582912;int;4;5;chrono::high_resolution_clock;0,540404;0,543543;2,825903;0,543522;99,996173%;0,054251;0,051206;29,996594;0,051185;99,959380%
HDD;12582912;int;4;6;chrono::high_resolution_clock;0,528359;0,543543;2,825903;0,543522;99,996173%;0,053620;0,051206;29,996594;0,051185;99,959380%
HDD;12582912;int;4;7;chrono::high_resolution_clock;0,580470;0,543543;2,825903;0,543522;99,996173%;0,051657;0,051206;29,996594;0,051185;99,959380%
HDD;12582912;int;4;8;chrono::high_resolution_clock;0,574048;0,543543;2,825903;0,543522;99,996173%;0,050483;0,051206;29,996594;0,051185;99,959380%
HDD;12582912;int;4;9;chrono::high_resolution_clock;0,582872;0,543543;2,825903;0,543522;99,996173%;0,050134;0,051206;29,996594;0,051185;99,959380%
HDD;12582912;int;4;10;chrono::high_resolution_clock;0,584690;0,543543;2,825903;0,543522;99,996173%;0,050161;0,051206;29,996594;0,051185;99,959380%
HDD;16777216;int;4;1;chrono::high_resolution_clock;0,791029;0,769930;2,659982;0,769909;99,997298%;0,067205;0,067193;30,479221;0,067173;99,969045%
HDD;16777216;int;4;2;chrono::high_resolution_clock;0,795153;0,769930;2,659982;0,769909;99,997298%;0,069149;0,067193;30,479221;0,067173;99,969045%
HDD;16777216;int;4;3;chrono::high_resolution_clock;0,791301;0,769930;2,659982;0,769909;99,997298%;0,068975;0,067193;30,479221;0,067173;99,969045%
HDD;16777216;int;4;4;chrono::high_resolution_clock;0,781899;0,769930;2,659982;0,769909;99,997298%;0,069783;0,067193;30,479221;0,067173;99,969045%
HDD;16777216;int;4;5;chrono::high_resolution_clock;0,717834;0,769930;2,659982;0,769909;99,997298%;0,064683;0,067193;30,479221;0,067173;99,969045%
HDD;16777216;int;4;6;chrono::high_resolution_clock;0,809796;0,769930;2,659982;0,769909;99,997298%;0,066167;0,067193;30,479221;0,067173;99,969045%
HDD;16777216;int;4;7;chrono::high_resolution_clock;0,809408;0,769930;2,659982;0,769909;99,997298%;0,066198;0,067193;30,479221;0,067173;99,969045%
HDD;16777216;int;4;8;chrono::high_resolution_clock;0,835538;0,769930;2,659982;0,769909;99,997298%;0,066425;0,067193;30,479221;0,067173;99,969045%
HDD;16777216;int;4;9;chrono::high_resolution_clock;0,678849;0,769930;2,659982;0,769909;99,997298%;0,068508;0,067193;30,479221;0,067173;99,969045%
HDD;16777216;int;4;10;chrono::high_resolution_clock;0,688495;0,769930;2,659982;0,769909;99,997298%;0,064840;0,067193;30,479221;0,067173;99,969045%
HDD;20971520;int;4;1;chrono::high_resolution_clock;1,114557;0,985959;2,596456;0,985939;99,997890%;0,094324;0,087017;29,419655;0,086996;99,976097%
HDD;20971520;int;4;2;chrono::high_resolution_clock;0,946906;0,985959;2,596456;0,985939;99,997890%;0,089296;0,087017;29,419655;0,086996;99,976097%
HDD;20971520;int;4;3;chrono::high_resolution_clock;1,046135;0,985959;2,596456;0,985939;99,997890%;0,088816;0,087017;29,419655;0,086996;99,976097%
HDD;20971520;int;4;4;chrono::high_resolution_clock;0,892215;0,985959;2,596456;0,985939;99,997890%;0,083960;0,087017;29,419655;0,086996;99,976097%
HDD;20971520;int;4;5;chrono::high_resolution_clock;0,891097;0,985959;2,596456;0,985939;99,997890%;0,085737;0,087017;29,419655;0,086996;99,976097%
HDD;20971520;int;4;6;chrono::high_resolution_clock;1,069588;0,985959;2,596456;0,985939;99,997890%;0,087014;0,087017;29,419655;0,086996;99,976097%
HDD;20971520;int;4;7;chrono::high_resolution_clock;1,020135;0,985959;2,596456;0,985939;99,997890%;0,083627;0,087017;29,419655;0,086996;99,976097%
HDD;20971520;int;4;8;chrono::high_resolution_clock;1,013180;0,985959;2,596456;0,985939;99,997890%;0,082466;0,087017;29,419655;0,086996;99,976097%
HDD;20971520;int;4;9;chrono::high_resolution_clock;1,000927;0,985959;2,596456;0,985939;99,997890%;0,084028;0,087017;29,419655;0,086996;99,976097%
HDD;20971520;int;4;10;chrono::high_resolution_clock;0,864854;0,985959;2,596456;0,985939;99,997890%;0,090897;0,087017;29,419655;0,086996;99,976097%
HDD;25165824;int;4;1;chrono::high_resolution_clock;1,065732;1,114636;2,756057;1,114615;99,998134%;0,099478;0,100927;30,437931;0,100906;99,979391%
HDD;25165824;int;4;2;chrono::high_resolution_clock;1,187032;1,114636;2,756057;1,114615;99,998134%;0,097968;0,100927;30,437931;0,100906;99,979391%
HDD;25165824;int;4;3;chrono::high_resolution_clock;1,206228;1,114636;2,756057;1,114615;99,998134%;0,107647;0,100927;30,437931;0,100906;99,979391%
HDD;25165824;int;4;4;chrono::high_resolution_clock;1,170368;1,114636;2,756057;1,114615;99,998134%;0,097616;0,100927;30,437931;0,100906;99,979391%
HDD;25165824;int;4;5;chrono::high_resolution_clock;1,054769;1,114636;2,756057;1,114615;99,998134%;0,102299;0,100927;30,437931;0,100906;99,979391%
HDD;25165824;int;4;6;chrono::high_resolution_clock;1,174885;1,114636;2,756057;1,114615;99,998134%;0,105667;0,100927;30,437931;0,100906;99,979391%
HDD;25165824;int;4;7;chrono::high_resolution_clock;1,040031;1,114636;2,756057;1,114615;99,998134%;0,100954;0,100927;30,437931;0,100906;99,979391%
HDD;25165824;int;4;8;chrono::high_resolution_clock;1,052522;1,114636;2,756057;1,114615;99,998134%;0,097574;0,100927;30,437931;0,100906;99,979391%
HDD;25165824;int;4;9;chrono::high_resolution_clock;1,167076;1,114636;2,756057;1,114615;99,998134%;0,098445;0,100927;30,437931;0,100906;99,979391%
HDD;25165824;int;4;10;chrono::high_resolution_clock;1,027715;1,114636;2,756057;1,114615;99,998134%;0,101618;0,100927;30,437931;0,100906;99,979391%
HDD;29360128;int;4;1;chrono::high_resolution_clock;1,415408;1,352465;2,649976;1,352444;99,998462%;0,118537;0,118146;30,335367;0,118125;99,982395%
HDD;29360128;int;4;2;chrono::high_resolution_clock;1,242324;1,352465;2,649976;1,352444;99,998462%;0,114901;0,118146;30,335367;0,118125;99,982395%
HDD;29360128;int;4;3;chrono::high_resolution_clock;1,357174;1,352465;2,649976;1,352444;99,998462%;0,114915;0,118146;30,335367;0,118125;99,982395%
HDD;29360128;int;4;4;chrono::high_resolution_clock;1,368427;1,352465;2,649976;1,352444;99,998462%;0,116096;0,118146;30,335367;0,118125;99,982395%
HDD;29360128;int;4;5;chrono::high_resolution_clock;1,219458;1,352465;2,649976;1,352444;99,998462%;0,115149;0,118146;30,335367;0,118125;99,982395%
HDD;29360128;int;4;6;chrono::high_resolution_clock;1,223315;1,352465;2,649976;1,352444;99,998462%;0,114347;0,118146;30,335367;0,118125;99,982395%
HDD;29360128;int;4;7;chrono::high_resolution_clock;1,283825;1,352465;2,649976;1,352444;99,998462%;0,117452;0,118146;30,335367;0,118125;99,982395%
HDD;29360128;int;4;8;chrono::high_resolution_clock;1,461187;1,352465;2,649976;1,352444;99,998462%;0,129293;0,118146;30,335367;0,118125;99,982395%
HDD;29360128;int;4;9;chrono::high_resolution_clock;1,699946;1,352465;2,649976;1,352444;99,998462%;0,120819;0,118146;30,335367;0,118125;99,982395%
HDD;29360128;int;4;10;chrono::high_resolution_clock;1,253586;1,352465;2,649976;1,352444;99,998462%;0,119949;0,118146;30,335367;0,118125;99,982395%
HDD;33554432;int;4;1;chrono::high_resolution_clock;1,430446;1,512287;2,708481;1,512266;99,998625%;0,133639;0,133835;30,604860;0,133814;99,984458%
HDD;33554432;int;4;2;chrono::high_resolution_clock;1,586888;1,512287;2,708481;1,512266;99,998625%;0,132266;0,133835;30,604860;0,133814;99,984458%
HDD;33554432;int;4;3;chrono::high_resolution_clock;1,616229;1,512287;2,708481;1,512266;99,998625%;0,133999;0,133835;30,604860;0,133814;99,984458%
HDD;33554432;int;4;4;chrono::high_resolution_clock;1,421219;1,512287;2,708481;1,512266;99,998625%;0,132150;0,133835;30,604860;0,133814;99,984458%
HDD;33554432;int;4;5;chrono::high_resolution_clock;1,607746;1,512287;2,708481;1,512266;99,998625%;0,132112;0,133835;30,604860;0,133814;99,984458%
HDD;33554432;int;4;6;chrono::high_resolution_clock;1,465723;1,512287;2,708481;1,512266;99,998625%;0,134266;0,133835;30,604860;0,133814;99,984458%
HDD;33554432;int;4;7;chrono::high_resolution_clock;1,514766;1,512287;2,708481;1,512266;99,998625%;0,134200;0,133835;30,604860;0,133814;99,984458%
HDD;33554432;int;4;8;chrono::high_resolution_clock;1,551959;1,512287;2,708481;1,512266;99,998625%;0,136162;0,133835;30,604860;0,133814;99,984458%
HDD;33554432;int;4;9;chrono::high_resolution_clock;1,449318;1,512287;2,708481;1,512266;99,998625%;0,133968;0,133835;30,604860;0,133814;99,984458%
HDD;33554432;int;4;10;chrono::high_resolution_clock;1,478573;1,512287;2,708481;1,512266;99,998625%;0,135588;0,133835;30,604860;0,133814;99,984458%
HDD;37748736;int;4;1;chrono::high_resolution_clock;1,664758;1,737250;2,652468;1,737229;99,998803%;0,147394;0,150640;30,589572;0,150619;99,986192%
HDD;37748736;int;4;2;chrono::high_resolution_clock;1,749293;1,737250;2,652468;1,737229;99,998803%;0,154341;0,150640;30,589572;0,150619;99,986192%
HDD;37748736;int;4;3;chrono::high_resolution_clock;1,757661;1,737250;2,652468;1,737229;99,998803%;0,150405;0,150640;30,589572;0,150619;99,986192%
HDD;37748736;int;4;4;chrono::high_resolution_clock;1,744466;1,737250;2,652468;1,737229;99,998803%;0,152464;0,150640;30,589572;0,150619;99,986192%
HDD;37748736;int;4;5;chrono::high_resolution_clock;1,758765;1,737250;2,652468;1,737229;99,998803%;0,152917;0,150640;30,589572;0,150619;99,986192%
HDD;37748736;int;4;6;chrono::high_resolution_clock;1,655198;1,737250;2,652468;1,737229;99,998803%;0,152641;0,150640;30,589572;0,150619;99,986192%
HDD;37748736;int;4;7;chrono::high_resolution_clock;1,836802;1,737250;2,652468;1,737229;99,998803%;0,149186;0,150640;30,589572;0,150619;99,986192%
HDD;37748736;int;4;8;chrono::high_resolution_clock;1,776374;1,737250;2,652468;1,737229;99,998803%;0,150743;0,150640;30,589572;0,150619;99,986192%
HDD;37748736;int;4;9;chrono::high_resolution_clock;1,620461;1,737250;2,652468;1,737229;99,998803%;0,149344;0,150640;30,589572;0,150619;99,986192%
HDD;37748736;int;4;10;chrono::high_resolution_clock;1,808725;1,737250;2,652468;1,737229;99,998803%;0,146960;0,150640;30,589572;0,150619;99,986192%
HDD;41943040;int;4;1;chrono::high_resolution_clock;1,991598;1,877998;2,726307;1,877977;99,998892%;0,166363;0,167372;30,590477;0,167352;99,987573%
HDD;41943040;int;4;2;chrono::high_resolution_clock;1,845203;1,877998;2,726307;1,877977;99,998892%;0,164496;0,167372;30,590477;0,167352;99,987573%
HDD;41943040;int;4;3;chrono::high_resolution_clock;1,824538;1,877998;2,726307;1,877977;99,998892%;0,167103;0,167372;30,590477;0,167352;99,987573%
HDD;41943040;int;4;4;chrono::high_resolution_clock;1,781227;1,877998;2,726307;1,877977;99,998892%;0,166337;0,167372;30,590477;0,167352;99,987573%
HDD;41943040;int;4;5;chrono::high_resolution_clock;1,935206;1,877998;2,726307;1,877977;99,998892%;0,168669;0,167372;30,590477;0,167352;99,987573%
HDD;41943040;int;4;6;chrono::high_resolution_clock;1,690033;1,877998;2,726307;1,877977;99,998892%;0,166312;0,167372;30,590477;0,167352;99,987573%
HDD;41943040;int;4;7;chrono::high_resolution_clock;2,008613;1,877998;2,726307;1,877977;99,998892%;0,163900;0,167372;30,590477;0,167352;99,987573%
HDD;41943040;int;4;8;chrono::high_resolution_clock;1,792866;1,877998;2,726307;1,877977;99,998892%;0,176498;0,167372;30,590477;0,167352;99,987573%
HDD;41943040;int;4;9;chrono::high_resolution_clock;1,944360;1,877998;2,726307;1,877977;99,998892%;0,170024;0,167372;30,590477;0,167352;99,987573%
HDD;41943040;int;4;10;chrono::high_resolution_clock;1,966336;1,877998;2,726307;1,877977;99,998892%;0,164021;0,167372;30,590477;0,167352;99,987573%
HDD;46137344;int;4;1;chrono::high_resolution_clock;1,917192;2,067128;2,724553;2,067107;99,998994%;0,189216;0,185637;30,338814;0,185616;99,988795%
HDD;46137344;int;4;2;chrono::high_resolution_clock;1,959969;2,067128;2,724553;2,067107;99,998994%;0,185863;0,185637;30,338814;0,185616;99,988795%
