MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime(s);AverageWriteTime(s);WriteBandwidth(Mb/s);AbsError(write)(s);RelError(write)(%);ReadTime(s);AverageReadTime(s);ReadBandwidth(Mb/s);AbsError(read)(s);RelError(read)(%)
HDD;4194304;int;4;0;chrono::high_resolution_clock;0,298701;0,298701;1,714087;0,298699;99,999304%;0,024621;0,024621;20,795003;0,024619;99,991552%
HDD;8388608;int;4;0;chrono::high_resolution_clock;0,550208;0,550208;1,861114;0,550206;99,999622%;0,065476;0,065476;15,639390;0,065474;99,996823%
HDD;12582912;int;4;0;chrono::high_resolution_clock;1,004987;1,004987;1,528378;1,004985;99,999793%;0,079214;0,079214;19,390536;0,079212;99,997374%
HDD;16777216;int;4;0;chrono::high_resolution_clock;1,170122;1,170122;1,750244;1,170120;99,999822%;0,090199;0,090199;22,705377;0,090197;99,997694%
HDD;20971520;int;4;0;chrono::high_resolution_clock;3,068461;3,068461;0,834295;3,068459;99,999932%;0,165105;0,165105;15,505266;0,165103;99,998740%
HDD;25165824;int;4;0;chrono::high_resolution_clock;3,002091;3,002091;1,023287;3,002089;99,999931%;0,318919;0,318919;9,632537;0,318917;99,999348%
HDD;29360128;int;4;0;chrono::high_resolution_clock;2,635638;2,635638;1,359823;2,635636;99,999921%;0,263471;0,263471;13,603010;0,263469;99,999211%
HDD;33554432;int;4;0;chrono::high_resolution_clock;3,354739;3,354739;1,220959;3,354737;99,999938%;0,309497;0,309497;13,234373;0,309495;99,999328%
HDD;37748736;int;4;0;chrono::high_resolution_clock;3,185097;3,185097;1,446738;3,185095;99,999935%;0,295413;0,295413;15,598491;0,295411;99,999296%
HDD;41943040;int;4;0;chrono::high_resolution_clock;3,589023;3,589023;1,426572;3,589021;99,999942%;0,260931;0,260931;19,622061;0,260929;99,999203%
HDD;46137344;int;4;0;chrono::high_resolution_clock;3,518965;3,518965;1,600471;3,518963;99,999941%;0,295530;0,295530;19,057287;0,295528;99,999296%
HDD;50331648;int;4;0;chrono::high_resolution_clock;3,959173;3,959173;1,551839;3,959171;99,999947%;0,385755;0,385755;15,927216;0,385753;99,999461%
HDD;54525952;int;4;0;chrono::high_resolution_clock;4,855450;4,855450;1,370831;4,855448;99,999957%;0,458368;0,458368;14,521074;0,458366;99,999546%
HDD;58720256;int;4;0;chrono::high_resolution_clock;4,795891;4,795891;1,494613;4,795889;99,999957%;0,451409;0,451409;15,879169;0,451407;99,999539%
HDD;62914560;int;4;0;chrono::high_resolution_clock;4,756826;4,756826;1,614522;4,756824;99,999956%;0,399778;0,399778;19,210657;0,399776;99,999480%
HDD;67108864;int;4;0;chrono::high_resolution_clock;4,950389;4,950389;1,654819;4,950387;99,999958%;0,482283;0,482283;16,985881;0,482281;99,999569%
HDD;71303168;int;4;0;chrono::high_resolution_clock;5,976551;5,976551;1,456358;5,976549;99,999965%;0,768108;0,768108;11,331741;0,768106;99,999729%
HDD;75497472;int;4;0;chrono::high_resolution_clock;7,466300;7,466300;1,234346;7,466298;99,999972%;0,595060;0,595060;15,487519;0,595058;99,999650%
HDD;79691776;int;4;0;chrono::high_resolution_clock;6,592993;6,592993;1,475506;6,592991;99,999968%;0,794696;0,794696;12,241162;0,794694;99,999738%
HDD;83886080;int;4;0;chrono::high_resolution_clock;6,951492;6,951492;1,473065;6,951490;99,999970%;0,640748;0,640748;15,981319;0,640746;99,999675%
