MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime(s);AverageWriteTime(s);WriteBandwidth(Mb/s);AbsError(write)(s);RelError(write)(%);ReadTime(s);AverageReadTime(s);ReadBandwidth(Mb/s);AbsError(read)(s);RelError(read)(%)
RAM;4194304,;int;4,;0,;chrono::high_resolution_clock;0,010803;0,011636;44001,375043;0,011636;0,99999811;0,015767;0,015865;32273,162061;0,015865;0,99999861
RAM;4194304,;int;4,;1,;chrono::high_resolution_clock;0,011967;0,011636;44001,375043;0,011636;0,99999811;0,01658;0,015865;32273,162061;0,015865;0,99999861
RAM;4194304,;int;4,;2,;chrono::high_resolution_clock;0,009767;0,011636;44001,375043;0,011636;0,99999811;0,015548;0,015865;32273,162061;0,015865;0,99999861
RAM;4194304,;int;4,;3,;chrono::high_resolution_clock;0,014006;0,011636;44001,375043;0,011636;0,99999811;0,015563;0,015865;32273,162061;0,015865;0,99999861
RAM;8388608,;int;4,;0,;chrono::high_resolution_clock;0,038881;0,027424;37339,862947;0,027424;0,9999992;0,031299;0,031308;32706,955738;0,031308;0,9999993
RAM;8388608,;int;4,;1,;chrono::high_resolution_clock;0,025405;0,027424;37339,862947;0,027424;0,9999992;0,031388;0,031308;32706,955738;0,031308;0,9999993
RAM;8388608,;int;4,;2,;chrono::high_resolution_clock;0,023864;0,027424;37339,862947;0,027424;0,9999992;0,031321;0,031308;32706,955738;0,031308;0,9999993
RAM;8388608,;int;4,;3,;chrono::high_resolution_clock;0,021546;0,027424;37339,862947;0,027424;0,9999992;0,031225;0,031308;32706,955738;0,031308;0,9999993
RAM;12582912,;int;4,;0,;chrono::high_resolution_clock;0,038999;0,040671;37766,072863;0,040671;0,99999946;0,047233;0,050534;30395,58789;0,050534;0,99999956
RAM;12582912,;int;4,;1,;chrono::high_resolution_clock;0,04482;0,040671;37766,072863;0,040671;0,99999946;0,053188;0,050534;30395,58789;0,050534;0,99999956
RAM;12582912,;int;4,;2,;chrono::high_resolution_clock;0,044465;0,040671;37766,072863;0,040671;0,99999946;0,052685;0,050534;30395,58789;0,050534;0,99999956
RAM;12582912,;int;4,;3,;chrono::high_resolution_clock;0,034402;0,040671;37766,072863;0,040671;0,99999946;0,049029;0,050534;30395,58789;0,050534;0,99999956
RAM;16777216,;int;4,;0,;chrono::high_resolution_clock;0,048143;0,049977;40978,788775;0,049977;0,99999956;0,068576;0,071658;28580,070773;0,071658;0,99999969
RAM;16777216,;int;4,;1,;chrono::high_resolution_clock;0,050479;0,049977;40978,788775;0,049977;0,99999956;0,068688;0,071658;28580,070773;0,071658;0,99999969
RAM;16777216,;int;4,;2,;chrono::high_resolution_clock;0,046277;0,049977;40978,788775;0,049977;0,99999956;0,068905;0,071658;28580,070773;0,071658;0,99999969
RAM;16777216,;int;4,;3,;chrono::high_resolution_clock;0,055009;0,049977;40978,788775;0,049977;0,99999956;0,080464;0,071658;28580,070773;0,071658;0,99999969
RAM;20971520,;int;4,;0,;chrono::high_resolution_clock;0,081633;0,069891;36628,372609;0,069891;0,99999969;0,118723;0,099996;25601,120049;0,099996;0,99999978
RAM;20971520,;int;4,;1,;chrono::high_resolution_clock;0,070496;0,069891;36628,372609;0,069891;0,99999969;0,105573;0,099996;25601,120049;0,099996;0,99999978
RAM;20971520,;int;4,;2,;chrono::high_resolution_clock;0,064704;0,069891;36628,372609;0,069891;0,99999969;0,089367;0,099996;25601,120049;0,099996;0,99999978
RAM;20971520,;int;4,;3,;chrono::high_resolution_clock;0,062733;0,069891;36628,372609;0,069891;0,99999969;0,08632;0,099996;25601,120049;0,099996;0,99999978
RAM;25165824,;int;4,;0,;chrono::high_resolution_clock;0,074635;0,087458;35125,572206;0,087458;0,99999975;0,104932;0,134543;22832,874434;0,134543;0,99999984
RAM;25165824,;int;4,;1,;chrono::high_resolution_clock;0,068526;0,087458;35125,572206;0,087458;0,99999975;0,105189;0,134543;22832,874434;0,134543;0,99999984
RAM;25165824,;int;4,;2,;chrono::high_resolution_clock;0,114889;0,087458;35125,572206;0,087458;0,99999975;0,124728;0,134543;22832,874434;0,134543;0,99999984
RAM;25165824,;int;4,;3,;chrono::high_resolution_clock;0,09178;0,087458;35125,572206;0,087458;0,99999975;0,203323;0,134543;22832,874434;0,134543;0,99999984
