BufferSize ReadBandwidth(Mb/s)
4 34335.968424
4 34335.968424
4 34335.968424
4 34335.968424
4 34335.968424
4 34335.968424
4 34335.968424
4 34335.968424
4 34335.968424
4 34335.968424
4 34495.297898
4 34495.297898
4 34495.297898
4 34495.297898
4 34495.297898
4 34495.297898
4 34495.297898
4 34495.297898
4 34495.297898
4 34495.297898
4 34413.037994
4 34413.037994
4 34413.037994
4 34413.037994
4 34413.037994
4 34413.037994
4 34413.037994
4 34413.037994
4 34413.037994
4 34413.037994
4 34528.954178
4 34528.954178
4 34528.954178
4 34528.954178
4 34528.954178
4 34528.954178
4 34528.954178
4 34528.954178
4 34528.954178
4 34528.954178
4 34360.160467
4 34360.160467
4 34360.160467
4 34360.160467
4 34360.160467
4 34360.160467
4 34360.160467
4 34360.160467
4 34360.160467
4 34360.160467
4 34602.115489
4 34602.115489
4 34602.115489
4 34602.115489
4 34602.115489
4 34602.115489
4 34602.115489
4 34602.115489
4 34602.115489
4 34602.115489
4 34411.453286
4 34411.453286
4 34411.453286
4 34411.453286
4 34411.453286
4 34411.453286
4 34411.453286
4 34411.453286
4 34411.453286
4 34411.453286
4 34534.717578
4 34534.717578
4 34534.717578
4 34534.717578
4 34534.717578
4 34534.717578
4 34534.717578
4 34534.717578
4 34534.717578
4 34534.717578
4 34532.683508
4 34532.683508
4 34532.683508
4 34532.683508
4 34532.683508
4 34532.683508
4 34532.683508
4 34532.683508
4 34532.683508
4 34532.683508
4 34312.255206
4 34312.255206
4 34312.255206
4 34312.255206
4 34312.255206
4 34312.255206
4 34312.255206
4 34312.255206
4 34312.255206
4 34312.255206
4 33917.372828
4 33917.372828
4 33917.372828
4 33917.372828
4 33917.372828
4 33917.372828
4 33917.372828
4 33917.372828
4 33917.372828
4 33917.372828
4 34061.856193
4 34061.856193
4 34061.856193
4 34061.856193
4 34061.856193
4 34061.856193
4 34061.856193
4 34061.856193
4 34061.856193
4 34061.856193
4 34263.573005
4 34263.573005
4 34263.573005
4 34263.573005
4 34263.573005
4 34263.573005
4 34263.573005
4 34263.573005
4 34263.573005
4 34263.573005
4 33970.245839
4 33970.245839
4 33970.245839
4 33970.245839
4 33970.245839
4 33970.245839
4 33970.245839
4 33970.245839
4 33970.245839
4 33970.245839
4 34213.916458
4 34213.916458
4 34213.916458
4 34213.916458
4 34213.916458
4 34213.916458
4 34213.916458
4 34213.916458
4 34213.916458
4 34213.916458
4 34247.501990
4 34247.501990
4 34247.501990
4 34247.501990
4 34247.501990
4 34247.501990
4 34247.501990
4 34247.501990
4 34247.501990
4 34247.501990
4 34050.203234
4 34050.203234
4 34050.203234
4 34050.203234
4 34050.203234
4 34050.203234
4 34050.203234
4 34050.203234
4 34050.203234
4 34050.203234
4 34214.689872
4 34214.689872
4 34214.689872
4 34214.689872
4 34214.689872
4 34214.689872
4 34214.689872
4 34214.689872
4 34214.689872
4 34214.689872
4 34239.130288
4 34239.130288
4 34239.130288
4 34239.130288
4 34239.130288
4 34239.130288
4 34239.130288
4 34239.130288
4 34239.130288
4 34239.130288
4 34583.641862
4 34583.641862
4 34583.641862
4 34583.641862
4 34583.641862
4 34583.641862
4 34583.641862
4 34583.641862
4 34583.641862
4 34583.641862
