MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime(s);AverageWriteTime(s);WriteBandwidth(Mb/s);AbsError(write)(s);RelError(write)(%);ReadTime(s);AverageReadTime(s);ReadBandwidth(Mb/s);AbsError(read)(s);RelError(read)(%)
SSD;4194304;int;4;1;chrono::high_resolution_clock;0,044664;0,041435;12,356765;0,041375;99,855194%;0,016826;0,017313;29,573295;0,017253;99,653438%
SSD;4194304;int;4;2;chrono::high_resolution_clock;0,039177;0,041435;12,356765;0,041375;99,855194%;0,016376;0,017313;29,573295;0,017253;99,653438%
SSD;4194304;int;4;3;chrono::high_resolution_clock;0,044041;0,041435;12,356765;0,041375;99,855194%;0,017681;0,017313;29,573295;0,017253;99,653438%
SSD;4194304;int;4;4;chrono::high_resolution_clock;0,039122;0,041435;12,356765;0,041375;99,855194%;0,018442;0,017313;29,573295;0,017253;99,653438%
SSD;4194304;int;4;5;chrono::high_resolution_clock;0,040354;0,041435;12,356765;0,041375;99,855194%;0,017570;0,017313;29,573295;0,017253;99,653438%
SSD;4194304;int;4;6;chrono::high_resolution_clock;0,040394;0,041435;12,356765;0,041375;99,855194%;0,016025;0,017313;29,573295;0,017253;99,653438%
SSD;4194304;int;4;7;chrono::high_resolution_clock;0,042876;0,041435;12,356765;0,041375;99,855194%;0,016569;0,017313;29,573295;0,017253;99,653438%
SSD;4194304;int;4;8;chrono::high_resolution_clock;0,044445;0,041435;12,356765;0,041375;99,855194%;0,016286;0,017313;29,573295;0,017253;99,653438%
SSD;4194304;int;4;9;chrono::high_resolution_clock;0,039948;0,041435;12,356765;0,041375;99,855194%;0,016700;0,017313;29,573295;0,017253;99,653438%
SSD;4194304;int;4;10;chrono::high_resolution_clock;0,039326;0,041435;12,356765;0,041375;99,855194%;0,020654;0,017313;29,573295;0,017253;99,653438%
SSD;8388608;int;4;1;chrono::high_resolution_clock;0,078064;0,081528;12,560067;0,081468;99,926406%;0,032338;0,033213;30,831403;0,033153;99,819347%
SSD;8388608;int;4;2;chrono::high_resolution_clock;0,082017;0,081528;12,560067;0,081468;99,926406%;0,037265;0,033213;30,831403;0,033153;99,819347%
SSD;8388608;int;4;3;chrono::high_resolution_clock;0,097060;0,081528;12,560067;0,081468;99,926406%;0,032857;0,033213;30,831403;0,033153;99,819347%
SSD;8388608;int;4;4;chrono::high_resolution_clock;0,081659;0,081528;12,560067;0,081468;99,926406%;0,033538;0,033213;30,831403;0,033153;99,819347%
SSD;8388608;int;4;5;chrono::high_resolution_clock;0,081678;0,081528;12,560067;0,081468;99,926406%;0,032186;0,033213;30,831403;0,033153;99,819347%
SSD;8388608;int;4;6;chrono::high_resolution_clock;0,078910;0,081528;12,560067;0,081468;99,926406%;0,031887;0,033213;30,831403;0,033153;99,819347%
SSD;8388608;int;4;7;chrono::high_resolution_clock;0,078546;0,081528;12,560067;0,081468;99,926406%;0,034335;0,033213;30,831403;0,033153;99,819347%
SSD;8388608;int;4;8;chrono::high_resolution_clock;0,080520;0,081528;12,560067;0,081468;99,926406%;0,032022;0,033213;30,831403;0,033153;99,819347%
SSD;8388608;int;4;9;chrono::high_resolution_clock;0,078185;0,081528;12,560067;0,081468;99,926406%;0,033568;0,033213;30,831403;0,033153;99,819347%
SSD;8388608;int;4;10;chrono::high_resolution_clock;0,078641;0,081528;12,560067;0,081468;99,926406%;0,032133;0,033213;30,831403;0,033153;99,819347%
SSD;12582912;int;4;1;chrono::high_resolution_clock;0,124242;0,125288;12,259745;0,125228;99,952110%;0,052764;0,050674;30,311560;0,050614;99,881595%
SSD;12582912;int;4;2;chrono::high_resolution_clock;0,127947;0,125288;12,259745;0,125228;99,952110%;0,050140;0,050674;30,311560;0,050614;99,881595%
SSD;12582912;int;4;3;chrono::high_resolution_clock;0,125063;0,125288;12,259745;0,125228;99,952110%;0,053418;0,050674;30,311560;0,050614;99,881595%
SSD;12582912;int;4;4;chrono::high_resolution_clock;0,122441;0,125288;12,259745;0,125228;99,952110%;0,051154;0,050674;30,311560;0,050614;99,881595%
SSD;12582912;int;4;5;chrono::high_resolution_clock;0,123904;0,125288;12,259745;0,125228;99,952110%;0,050099;0,050674;30,311560;0,050614;99,881595%
SSD;12582912;int;4;6;chrono::high_resolution_clock;0,123139;0,125288;12,259745;0,125228;99,952110%;0,049208;0,050674;30,311560;0,050614;99,881595%
