MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime(s);AverageWriteTime(s);WriteBandwidth(Mb/s);AbsError(write)(s);RelError(write)(%);ReadTime(s);AverageReadTime(s);ReadBandwidth(Mb/s);AbsError(read)(s);RelError(read)(%)
HDD;4194304;unsigned short;2;1;chrono::high_resolution_clock;0,0018013000000000;0,0018598250000000;2150,7399889774574149;0,0000010395565832;0,0558953978555037%;0,0058709000000000;0,0041671750000000;959,8828942868971126;0,0000010390064681;0,0249331133935492%
HDD;4194304;unsigned short;2;2;chrono::high_resolution_clock;0,0017522000000000;0,0018598250000000;2150,7399889774574149;0,0000010395565832;0,0558953978555037%;0,0035415000000000;0,0041671750000000;959,8828942868971126;0,0000010390064681;0,0249331133935492%
HDD;4194304;unsigned short;2;3;chrono::high_resolution_clock;0,0020973000000000;0,0018598250000000;2150,7399889774574149;0,0000010395565832;0,0558953978555037%;0,0035857000000000;0,0041671750000000;959,8828942868971126;0,0000010390064681;0,0249331133935492%
HDD;4194304;unsigned short;2;4;chrono::high_resolution_clock;0,0017885000000000;0,0018598250000000;2150,7399889774574149;0,0000010395565832;0,0558953978555037%;0,0036706000000000;0,0041671750000000;959,8828942868971126;0,0000010390064681;0,0249331133935492%
HDD;4194304;unsigned int;4;1;chrono::high_resolution_clock;0,0017056000000000;0,0018553750000000;2155,8984032877447135;0,0000020795576441;0,1120828751130526%;0,0035940000000000;0,0036473500000000;1096,6866355024881159;0,0000020791304040;0,0570038631882192%
HDD;4194304;unsigned int;4;2;chrono::high_resolution_clock;0,0023477000000000;0,0018553750000000;2155,8984032877447135;0,0000020795576441;0,1120828751130526%;0,0035904000000000;0,0036473500000000;1096,6866355024881159;0,0000020791304040;0,0570038631882192%
HDD;4194304;unsigned int;4;3;chrono::high_resolution_clock;0,0016738000000000;0,0018553750000000;2155,8984032877447135;0,0000020795576441;0,1120828751130526%;0,0036625000000000;0,0036473500000000;1096,6866355024881159;0,0000020791304040;0,0570038631882192%
HDD;4194304;unsigned int;4;4;chrono::high_resolution_clock;0,0016944000000000;0,0018553750000000;2155,8984032877447135;0,0000020795576441;0,1120828751130526%;0,0037425000000000;0,0036473500000000;1096,6866355024881159;0,0000020791304040;0,0570038631882192%
HDD;4194304;unsigned __int64;8;1;chrono::high_resolution_clock;0,0017209000000000;0,0018505250000000;2161,5487496791452031;0,0000041595588005;0,2247772281087209%;0,0036332000000000;0,0036311250000000;1101,5869737340356096;0,0000041591342723;0,1145412034104296%
HDD;4194304;unsigned __int64;8;2;chrono::high_resolution_clock;0,0016458000000000;0,0018505250000000;2161,5487496791452031;0,0000041595588005;0,2247772281087209%;0,0035948000000000;0,0036311250000000;1101,5869737340356096;0,0000041591342723;0,1145412034104296%
HDD;4194304;unsigned __int64;8;3;chrono::high_resolution_clock;0,0021801000000000;0,0018505250000000;2161,5487496791452031;0,0000041595588005;0,2247772281087209%;0,0036296000000000;0,0036311250000000;1101,5869737340356096;0,0000041591342723;0,1145412034104296%
HDD;4194304;unsigned __int64;8;4;chrono::high_resolution_clock;0,0018553000000000;0,0018505250000000;2161,5487496791452031;0,0000041595588005;0,2247772281087209%;0,0036669000000000;0,0036311250000000;1101,5869737340356096;0,0000041591342723;0,1145412034104296%
HDD;8388608;unsigned short;2;1;chrono::high_resolution_clock;0,0036682000000000;0,0037441500000000;2136,6665331250083000;0,0000010395536625;0,0277647440016700%;0,0075985000000000;0,0078538500000000;1018,6087078311909409;0,0000010390637481;0,0132299922728504%
HDD;8388608;unsigned short;2;2;chrono::high_resolution_clock;0,0040704000000000;0,0037441500000000;2136,6665331250083000;0,0000010395536625;0,0277647440016700%;0,0072893000000000;0,0078538500000000;1018,6087078311909409;0,0000010390637481;0,0132299922728504%
HDD;8388608;unsigned short;2;3;chrono::high_resolution_clock;0,0036506000000000;0,0037441500000000;2136,6665331250083000;0,0000010395536625;0,0277647440016700%;0,0090024000000000;0,0078538500000000;1018,6087078311909409;0,0000010390637481;0,0132299922728504%
HDD;8388608;unsigned short;2;4;chrono::high_resolution_clock;0,0035874000000000;0,0037441500000000;2136,6665331250083000;0,0000010395536625;0,0277647440016700%;0,0075252000000000;0,0078538500000000;1018,6087078311909409;0,0000010390637481;0,0132299922728504%
HDD;8388608;unsigned int;4;1;chrono::high_resolution_clock;0,0037080000000000;0,0036705250000000;2179,5247273891336590;0,0000020795624393;0,0566557219831624%;0,0075741000000000;0,0079157000000000;1010,6497214396705431;0,0000020790563750;0,0262649718284764%
HDD;8388608;unsigned int;4;2;chrono::high_resolution_clock;0,0037274000000000;0,0036705250000000;2179,5247273891336590;0,0000020795624393;0,0566557219831624%;0,0075812000000000;0,0079157000000000;1010,6497214396705431;0,0000020790563750;0,0262649718284764%
HDD;8388608;unsigned int;4;3;chrono::high_resolution_clock;0,0036123000000000;0,0036705250000000;2179,5247273891336590;0,0000020795624393;0,0566557219831624%;0,0075229000000000;0,0079157000000000;1010,6497214396705431;0,0000020790563750;0,0262649718284764%
HDD;8388608;unsigned int;4;4;chrono::high_resolution_clock;0,0036344000000000;0,0036705250000000;2179,5247273891336590;0,0000020795624393;0,0566557219831624%;0,0089846000000000;0,0079157000000000;1010,6497214396705431;0,0000020790563750;0,0262649718284764%
HDD;8388608;unsigned __int64;8;1;chrono::high_resolution_clock;0,0036565000000000;0,0037264750000000;2146,8009311749037806;0,0000041595557696;0,1116217274921399%;0,0074884000000000;0,0074076250000000;1079,9682759318943681;0,0000041591169423;0,0561464294195034%
HDD;8388608;unsigned __int64;8;2;chrono::high_resolution_clock;0,0036622000000000;0,0037264750000000;2146,8009311749037806;0,0000041595557696;0,1116217274921399%;0,0073384000000000;0,0074076250000000;1079,9682759318943681;0,0000041591169423;0,0561464294195034%
HDD;8388608;unsigned __int64;8;3;chrono::high_resolution_clock;0,0034787000000000;0,0037264750000000;2146,8009311749037806;0,0000041595557696;0,1116217274921399%;0,0074547000000000;0,0074076250000000;1079,9682759318943681;0,0000041591169423;0,0561464294195034%
HDD;8388608;unsigned __int64;8;4;chrono::high_resolution_clock;0,0041085000000000;0,0037264750000000;2146,8009311749037806;0,0000041595557696;0,1116217274921399%;0,0073490000000000;0,0074076250000000;1079,9682759318943681;0,0000041591169423;0,0561464294195034%
HDD;12582912;unsigned short;2;1;chrono::high_resolution_clock;0,0055506000000000;0,0054534750000000;2200,4318347475691553;0,0000010395665967;0,0190624619485089%;0,0110785000000000;0,0119981750000000;1000,1521064661917535;0,0000010390464707;0,0086600376367369%
HDD;12582912;unsigned short;2;2;chrono::high_resolution_clock;0,0053348000000000;0,0054534750000000;2200,4318347475691553;0,0000010395665967;0,0190624619485089%;0,0122627000000000;0,0119981750000000;1000,1521064661917535;0,0000010390464707;0,0086600376367369%
HDD;12582912;unsigned short;2;3;chrono::high_resolution_clock;0,0053057000000000;0,0054534750000000;2200,4318347475691553;0,0000010395665967;0,0190624619485089%;0,0133731000000000;0,0119981750000000;1000,1521064661917535;0,0000010390464707;0,0086600376367369%
HDD;12582912;unsigned short;2;4;chrono::high_resolution_clock;0,0056228000000000;0,0054534750000000;2200,4318347475691553;0,0000010395665967;0,0190624619485089%;0,0112784000000000;0,0119981750000000;1000,1521064661917535;0,0000010390464707;0,0086600376367369%
