MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime(s);AverageWriteTime(s);WriteBandwidth(Mb/s);AbsError(write)(s);RelError(write)(%);ReadTime(s);AverageReadTime(s);ReadBandwidth(Mb/s);AbsError(read)(s);RelError(read)(%)
SSD;4194304;unsigned short;2;1;chrono::high_resolution_clock;0,0018121000000000;0,0018944250000000;2111,4586220093169686;0,0000000032809143;0,0001731878687879%;0,0076414000000000;0,0052340500000000;764,2265549622186427;0,0000000046389836;0,0000886308620677%
SSD;4194304;unsigned short;2;2;chrono::high_resolution_clock;0,0020421000000000;0,0018944250000000;2111,4586220093169686;0,0000000032809143;0,0001731878687879%;0,0039726000000000;0,0052340500000000;764,2265549622186427;0,0000000046389836;0,0000886308620677%
SSD;4194304;unsigned short;2;3;chrono::high_resolution_clock;0,0017747000000000;0,0018944250000000;2111,4586220093169686;0,0000000032809143;0,0001731878687879%;0,0047662000000000;0,0052340500000000;764,2265549622186427;0,0000000046389836;0,0000886308620677%
SSD;4194304;unsigned short;2;4;chrono::high_resolution_clock;0,0019488000000000;0,0018944250000000;2111,4586220093169686;0,0000000032809143;0,0001731878687879%;0,0045560000000000;0,0052340500000000;764,2265549622186427;0,0000000046389836;0,0000886308620677%
SSD;4194304;unsigned int;4;1;chrono::high_resolution_clock;0,0017623000000000;0,0017597250000000;2273,0824418588131266;0,0000000070456097;0,0004003812905932%;0,0039455000000000;0,0039033750000000;1024,7542191052616545;0,0000000108431197;0,0002777883159778%
SSD;4194304;unsigned int;4;2;chrono::high_resolution_clock;0,0017436000000000;0,0017597250000000;2273,0824418588131266;0,0000000070456097;0,0004003812905932%;0,0039484000000000;0,0039033750000000;1024,7542191052616545;0,0000000108431197;0,0002777883159778%
SSD;4194304;unsigned int;4;3;chrono::high_resolution_clock;0,0016710000000000;0,0017597250000000;2273,0824418588131266;0,0000000070456097;0,0004003812905932%;0,0038988000000000;0,0039033750000000;1024,7542191052616545;0,0000000108431197;0,0002777883159778%
SSD;4194304;unsigned int;4;4;chrono::high_resolution_clock;0,0018620000000000;0,0017597250000000;2273,0824418588131266;0,0000000070456097;0,0004003812905932%;0,0038208000000000;0,0039033750000000;1024,7542191052616545;0,0000000108431197;0,0002777883159778%
SSD;4194304;unsigned __int64;8;1;chrono::high_resolution_clock;0,0016599000000000;0,0017118750000000;2336,6192040890837234;0,0000000145221788;0,0008483200464345%;0,0038760000000000;0,0039451250000000;1013,9095719400526150;0,0000000226069225;0,0005730343779506%
SSD;4194304;unsigned __int64;8;2;chrono::high_resolution_clock;0,0017424000000000;0,0017118750000000;2336,6192040890837234;0,0000000145221788;0,0008483200464345%;0,0041962000000000;0,0039451250000000;1013,9095719400526150;0,0000000226069225;0,0005730343779506%
SSD;4194304;unsigned __int64;8;3;chrono::high_resolution_clock;0,0017474000000000;0,0017118750000000;2336,6192040890837234;0,0000000145221788;0,0008483200464345%;0,0038333000000000;0,0039451250000000;1013,9095719400526150;0,0000000226069225;0,0005730343779506%
SSD;4194304;unsigned __int64;8;4;chrono::high_resolution_clock;0,0016978000000000;0,0017118750000000;2336,6192040890837234;0,0000000145221788;0,0008483200464345%;0,0038750000000000;0,0039451250000000;1013,9095719400526150;0,0000000226069225;0,0005730343779506%
SSD;8388608;unsigned short;2;1;chrono::high_resolution_clock;0,0037332000000000;0,0036159750000000;2212,4046764703844019;0,0000000033015226;0,0000913038001982%;0,0079549000000000;0,0084125000000000;950,9658246656761094;0,0000000048840303;0,0000580568231995%
SSD;8388608;unsigned short;2;2;chrono::high_resolution_clock;0,0035029000000000;0,0036159750000000;2212,4046764703844019;0,0000000033015226;0,0000913038001982%;0,0079088000000000;0,0084125000000000;950,9658246656761094;0,0000000048840303;0,0000580568231995%
SSD;8388608;unsigned short;2;3;chrono::high_resolution_clock;0,0036658000000000;0,0036159750000000;2212,4046764703844019;0,0000000033015226;0,0000913038001982%;0,0079591000000000;0,0084125000000000;950,9658246656761094;0,0000000048840303;0,0000580568231995%
SSD;8388608;unsigned short;2;4;chrono::high_resolution_clock;0,0035620000000000;0,0036159750000000;2212,4046764703844019;0,0000000033015226;0,0000913038001982%;0,0098272000000000;0,0084125000000000;950,9658246656761094;0,0000000048840303;0,0000580568231995%
SSD;8388608;unsigned int;4;1;chrono::high_resolution_clock;0,0038425000000000;0,0037565000000000;2129,6419539464927766;0,0000000070173511;0,0001868055664529%;0,0079973000000000;0,0081516250000000;981,3994142272247245;0,0000000108020074;0,0001325135463796%
SSD;8388608;unsigned int;4;2;chrono::high_resolution_clock;0,0037017000000000;0,0037565000000000;2129,6419539464927766;0,0000000070173511;0,0001868055664529%;0,0083609000000000;0,0081516250000000;981,3994142272247245;0,0000000108020074;0,0001325135463796%
SSD;8388608;unsigned int;4;3;chrono::high_resolution_clock;0,0038626000000000;0,0037565000000000;2129,6419539464927766;0,0000000070173511;0,0001868055664529%;0,0081269000000000;0,0081516250000000;981,3994142272247245;0,0000000108020074;0,0001325135463796%
SSD;8388608;unsigned int;4;4;chrono::high_resolution_clock;0,0036192000000000;0,0037565000000000;2129,6419539464927766;0,0000000070173511;0,0001868055664529%;0,0081214000000000;0,0081516250000000;981,3994142272247245;0,0000000108020074;0,0001325135463796%
SSD;8388608;unsigned __int64;8;1;chrono::high_resolution_clock;0,0037499000000000;0,0037376000000000;2140,4109589041095205;0,0000000144847650;0,0003875418707025%;0,0081215000000000;0,0086155250000000;928,5562980781785427;0,0000000225204630;0,0002613939717619%
SSD;8388608;unsigned __int64;8;2;chrono::high_resolution_clock;0,0037374000000000;0,0037376000000000;2140,4109589041095205;0,0000000144847650;0,0003875418707025%;0,0082879000000000;0,0086155250000000;928,5562980781785427;0,0000000225204630;0,0002613939717619%
SSD;8388608;unsigned __int64;8;3;chrono::high_resolution_clock;0,0038813000000000;0,0037376000000000;2140,4109589041095205;0,0000000144847650;0,0003875418707025%;0,0082944000000000;0,0086155250000000;928,5562980781785427;0,0000000225204630;0,0002613939717619%
