MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime(s);AverageWriteTime(s);WriteBandwidth(Mb/s);AbsError(write)(s);RelError(write)(%);ReadTime(s);AverageReadTime(s);ReadBandwidth(Mb/s);AbsError(read)(s);RelError(read)(%)
FLASH;4194304;int;4;0;chrono::high_resolution_clock;1,249571;1,249571;0,409741;1,249568;99,999712%;0,024593;0,024593;20,819355;0,024589;99,985361%
FLASH;8388608;int;4;0;chrono::high_resolution_clock;4,645534;4,645534;0,220427;4,645531;99,999923%;0,049555;0,049555;20,663784;0,049552;99,992735%
FLASH;12582912;int;4;0;chrono::high_resolution_clock;9,002326;9,002326;0,170623;9,002322;99,999960%;0,105035;0,105035;14,623739;0,105031;99,996573%
FLASH;16777216;int;4;0;chrono::high_resolution_clock;10,979018;10,979018;0,186538;10,979014;99,999967%;0,095274;0,095274;21,495986;0,095270;99,996221%
FLASH;20971520;int;4;0;chrono::high_resolution_clock;12,937760;12,937760;0,197870;12,937756;99,999972%;0,112320;0,112320;22,791982;0,112317;99,996795%
FLASH;25165824;int;4;0;chrono::high_resolution_clock;15,725450;15,725450;0,195352;15,725446;99,999977%;0,209266;0,209266;14,679860;0,209263;99,998280%
FLASH;29360128;int;4;0;chrono::high_resolution_clock;17,907973;17,907973;0,200134;17,907969;99,999980%;0,160849;0,160849;22,281767;0,160845;99,997762%
FLASH;33554432;int;4;0;chrono::high_resolution_clock;20,530590;20,530590;0,199507;20,530586;99,999982%;0,210016;0,210016;19,503322;0,210012;99,998286%
FLASH;37748736;int;4;0;chrono::high_resolution_clock;24,344100;24,344100;0,189286;24,344096;99,999985%;0,259145;0,259145;17,781585;0,259141;99,998611%
FLASH;41943040;int;4;0;chrono::high_resolution_clock;26,476216;26,476216;0,193381;26,476213;99,999986%;0,219177;0,219177;23,360169;0,219173;99,998357%
FLASH;46137344;int;4;0;chrono::high_resolution_clock;25,033487;25,033487;0,224979;25,033483;99,999986%;0,276712;0,276712;20,353277;0,276709;99,998699%
FLASH;50331648;int;4;0;chrono::high_resolution_clock;28,544552;28,544552;0,215242;28,544548;99,999987%;0,289809;0,289809;21,200184;0,289805;99,998758%
FLASH;54525952;int;4;0;chrono::high_resolution_clock;31,549053;31,549053;0,210973;31,549049;99,999989%;0,285757;0,285757;23,292493;0,285754;99,998740%
FLASH;58720256;int;4;0;chrono::high_resolution_clock;38,028342;38,028342;0,188491;38,028339;99,999991%;0,650182;0,650182;11,024607;0,650178;99,999446%
FLASH;62914560;int;4;0;chrono::high_resolution_clock;38,273005;38,273005;0,200664;38,273002;99,999991%;0,670061;0,670061;11,461648;0,670057;99,999463%
FLASH;67108864;int;4;0;chrono::high_resolution_clock;41,973482;41,973482;0,195171;41,973478;99,999991%;0,906279;0,906279;9,039164;0,906275;99,999603%
FLASH;71303168;int;4;0;chrono::high_resolution_clock;42,749591;42,749591;0,203604;42,749587;99,999992%;0,475609;0,475609;18,300743;0,475606;99,999243%
FLASH;75497472;int;4;0;chrono::high_resolution_clock;46,320180;46,320180;0,198963;46,320176;99,999992%;0,620656;0,620656;14,848815;0,620652;99,999420%
FLASH;79691776;int;4;0;chrono::high_resolution_clock;48,978231;48,978231;0,198619;48,978227;99,999993%;0,473303;0,473303;20,553430;0,473299;99,999239%
FLASH;83886080;int;4;0;chrono::high_resolution_clock;49,323654;49,323654;0,207608;49,323650;99,999993%;0,511778;0,511778;20,008683;0,511774;99,999297%
