MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime(s);AverageWriteTime(s);WriteBandwidth(Mb/s);AbsError(write)(s);RelError(write)(%);ReadTime(s);AverageReadTime(s);ReadBandwidth(Mb/s);AbsError(read)(s);RelError(read)(%)
RAM;4194304;int;4;0;chrono::high_resolution_clock;0,018325;0,018325;27940,277657;0,018325;99,999970%;0,015617;0,015617;32784,995742;0,015617;99,999965%
RAM;8388608;int;4;0;chrono::high_resolution_clock;0,057796;0,057796;17717,489100;0,057796;99,999990%;0,050917;0,050917;20111,161302;0,050917;99,999989%
RAM;12582912;int;4;0;chrono::high_resolution_clock;0,049273;0,049273;31172,942860;0,049273;99,999989%;0,055954;0,055954;27451,218684;0,055954;99,999990%
RAM;16777216;int;4;0;chrono::high_resolution_clock;0,096115;0,096115;21307,786186;0,096115;99,999994%;0,062382;0,062382;32829,719873;0,062382;99,999991%
RAM;20971520;int;4;0;chrono::high_resolution_clock;0,102565;0,102565;24959,830273;0,102565;99,999995%;0,100310;0,100310;25520,961582;0,100310;99,999995%
RAM;25165824;int;4;0;chrono::high_resolution_clock;0,102726;0,102726;29904,940837;0,102725;99,999995%;0,097266;0,097266;31583,622576;0,097266;99,999994%
RAM;29360128;int;4;0;chrono::high_resolution_clock;0,122319;0,122319;29300,555517;0,122318;99,999996%;0,110878;0,110878;32323,902823;0,110878;99,999995%
RAM;33554432;int;4;0;chrono::high_resolution_clock;0,138647;0,138647;29542,630174;0,138647;99,999996%;0,149066;0,149066;27477,761528;0,149066;99,999996%
RAM;37748736;int;4;0;chrono::high_resolution_clock;0,156824;0,156824;29383,295138;0,156824;99,999996%;0,150967;0,150967;30523,328023;0,150966;99,999996%
RAM;41943040;int;4;0;chrono::high_resolution_clock;0,228026;0,228026;22453,540467;0,228026;99,999998%;0,178457;0,178457;28690,416952;0,178457;99,999997%
RAM;46137344;int;4;0;chrono::high_resolution_clock;0,196792;0,196792;28619,005927;0,196792;99,999997%;0,288269;0,288269;19537,334278;0,288269;99,999998%
RAM;50331648;int;4;0;chrono::high_resolution_clock;0,246545;0,246545;24920,399927;0,246545;99,999998%;0,205665;0,205665;29873,809412;0,205665;99,999997%
RAM;54525952;int;4;0;chrono::high_resolution_clock;0,235143;0,235143;28306,131493;0,235143;99,999998%;0,264060;0,264060;25206,392487;0,264060;99,999998%
RAM;58720256;int;4;0;chrono::high_resolution_clock;0,319976;0,319976;22401,666124;0,319976;99,999998%;0,289901;0,289901;24725,690745;0,289901;99,999998%
RAM;62914560;int;4;0;chrono::high_resolution_clock;0,353450;0,353450;21728,649904;0,353450;99,999998%;0,271492;0,271492;28288,168032;0,271492;99,999998%
RAM;67108864;int;4;0;chrono::high_resolution_clock;0,313239;0,313239;26152,537741;0,313239;99,999998%;0,298221;0,298221;27469,570376;0,298221;99,999998%
RAM;71303168;int;4;0;chrono::high_resolution_clock;0,358876;0,358876;24253,502603;0,358876;99,999998%;0,359645;0,359645;24201,676934;0,359644;99,999998%
RAM;75497472;int;4;0;chrono::high_resolution_clock;0,374062;0,374062;24637,653264;0,374062;99,999999%;0,317583;0,317583;29019,222086;0,317583;99,999998%
RAM;79691776;int;4;0;chrono::high_resolution_clock;0,460929;0,460929;21105,193596;0,460929;99,999999%;0,403633;0,403633;24101,125628;0,403633;99,999999%
RAM;83886080;int;4;0;chrono::high_resolution_clock;0,420121;0,420121;24373,959376;0,420120;99,999999%;0,667630;0,667630;15337,846015;0,667630;99,999999%
